Select Template,Select Template 
RecipientAddress,RecipientAddress
Delivery Date,DeliveryDate
CustomMessage,CustomMessage
RecipientEmail,RecipientEmail
RecipientName,RecipientName
SenderName,SenderName
Choose Giftcard To Apply, 選擇你的禮品卷
Select Giftcard Code,選擇你的禮品碼
Send To Someone,Send To Someone
Giftcards only used for purchase in store only,Giftcards only used for purchase in store only
Value,Value
Giftcard Code,禮品券碼
To,To
From,From
Price,Price
Value,Value
Enter your Giftcard code if you have one,Enter your Giftcard code if you have one
Giftcard Codes,禮品券

Redeem Amount,使用餘額
Apply Code,Apply Code
Cancel Code,取消禮品券
Code,Code
Redeem Code,使用禮品券
You have not purchased any Giftcard products yet.,You have not purchased any Giftcard products yet.
My Gift Card Products,My Gift Card Products
View,View
Status,Status
Expire Date,Expire Date
Added Date,Added Date
Balance,Balance
Giftcard Value,Giftcard Value
Gift Card Transactions,Gift Card Transactions
Giftcard Name,Giftcard Name
Comment,Comment
Status,Status
Transaction Date,Transaction Date
Amount Used,Amount Used
Giftcard Balance,Giftcard Balance
Order ID,Order ID
Sharing Mail ID,Sharing Mail ID
Share Giftcard,Share Giftcard
